Number,Street,City,State,County,Zip,Country,Latitude,Longitude,PIN,Assessed hurricanes (three),Number of assessed hurricanes
248,Eagle Run,Longs,SC,Horry County,29568,US,33.889266,-78.687478,30413010088,Joaquin,1
252,Eagle Run,Longs,SC,Horry County,29568,US,33.889145,-78.68738,30413010089,Joaquin,1
256,Eagle Run,Longs,SC,Horry County,29568,US,33.889046,-78.687237,30413010090,Joaquin,1
2181,Goodson Dr,Longs,SC,Horry County,29568,US,33.889489,-78.687075,30413010091,Joaquin,1
2341,Brick Dr,Longs,SC,Horry County,29568,US,33.891507,-78.683751,30413020006,Joaquin,1
125,Edwards Ln,Longs,SC,Horry County,29568,US,33.89009,-78.685085,30413020048,Joaquin,1
2177,Goodson Dr,Longs,SC,Horry County,29568,US,33.889625,-78.686759,30413020059,Joaquin,1
260,Eagle Run,Longs,SC,Horry County,29568,US,33.888922,-78.687111,30413040021,Joaquin,1
259,Crystal Ln,Longs,SC,Horry County,29568,US,33.886154,-78.716061,30416040001,Florence,1
289,Crystal Ln,Longs,SC,Horry County,29568,US,33.885872,-78.714707,30416040002,Florence,1
297,Crystal Ln,Longs,SC,Horry County,29568,US,33.88614,-78.714418,30416040003,Florence,1
375,Reno Cir,Longs,SC,Horry County,29568,US,33.930066,-78.754322,30506020002,Florence,1
2151,Seaford Dr,Longs,SC,Horry County,29568,US,33.896634,-78.680481,30509010009,Joaquin,1
476,Charter Dr,Longs,SC,Horry County,29568,US,33.898108,-78.682484,30509010044,Florence,1
426,Cordgrass Ln,Little River,SC,Horry County,29566,US,33.885375,-78.679306,30516040003,Joaquin,1
436,Cordgrass Ln,Little River,SC,Horry County,29566,US,33.885564,-78.679818,30516040005,Joaquin,1
444,Cordgrass Ln,Little River,SC,Horry County,29566,US,33.885697,-78.680172,30516040007,Joaquin,1
448,Cordgrass Ln,Little River,SC,Horry County,29566,US,33.885761,-78.680347,30516040008,Joaquin,1
452,Cordgrass Ln,Little River,SC,Horry County,29566,US,33.885789,-78.680519,30516040009,Joaquin,1
623,Charter Dr,Longs,SC,Horry County,29568,US,33.902495,-78.683668,30516040010,Joaquin,1
460,Cordgrass Ln,Little River,SC,Horry County,29566,US,33.885728,-78.680883,30516040011,Joaquin,1
104,Retreat Pl,Little River,SC,Horry County,29566,US,33.886555,-78.680942,30516040012,Joaquin,1
3839,Woodridge Cir,Little River,SC,Horry County,29566,US,33.890652,-78.623103,30613010021,Matthew,1
1009,Sunnymeadow Pl,Little River,SC,Horry County,29566,US,33.890748,-78.636513,30615020026,Florence,1
1004,Sunnymeadow Pl,Little River,SC,Horry County,29566,US,33.89031,-78.636156,30615020029,Florence,1
2212,Jackson Cir,Little River,SC,Horry County,29566,US,33.883914,-78.592042,30713040022,Matthew,1
2172,Plantation Cir,Little River,SC,Horry County,29566,US,33.878671,-78.589034,31104040011,Matthew,1
2228,Vereen Cir,Little River,SC,Horry County,29566,US,33.879728,-78.589347,31104040023,Matthew,1
2116,Lexington Cir,Little River,SC,Horry County,29566,US,33.878909,-78.589989,31104040063,Matthew,1
1663,Wildwood Dr,Little River,SC,Horry County,29566,US,33.874583,-78.610079,31108020062,Matthew,1
1558,Platt Dr,Little River,SC,Horry County,29566,US,33.873014,-78.612912,31108030011,Matthew,1
3208,Hermitage Dr,Little River,SC,Horry County,29566,US,33.881863,-78.648402,31201010020,Matthew,1
586,Vermillion Dr,Little River,SC,Horry County,29566,US,33.88194,-78.635174,31202020051,Florence,1
2366,Island Way,Little River,SC,Horry County,29566,US,33.879072,-78.585117,31206020034,Joaquin,1
2236,Jackson Cir,Little River,SC,Horry County,29566,US,33.883896,-78.590896,31206020043,Joaquin,1
4103,Mica Ave,Little River,SC,Horry County,29566,US,33.876789,-78.628638,31206020044,Joaquin,1
413,2nd Ave S,North Myrtle Beach,SC,Horry County,29582,US,33.82189,-78.677808,31206020045,Joaquin,1
3920,Mallard Way,Little River,SC,Horry County,29566,US,33.871475,-78.629779,31206030001,Joaquin,1
3930,Greenhead Rd,Little River,SC,Horry County,29566,US,33.871128,-78.629786,31206030002,Joaquin,1
3969,Greenhead Rd,Little River,SC,Horry County,29566,US,33.871786,-78.629276,31206030017,Joaquin,1
3899,Mallard Way,Little River,SC,Horry County,29566,US,33.872223,-78.629473,31206030019,Joaquin,1
3910,Mallard Way,Little River,SC,Horry County,29566,US,33.871702,-78.629898,31206040081,Joaquin,1
4047,Sandtrap Ave,Little River,SC,Horry County,29566,US,33.869974,-78.646864,31209010080,Joaquin,1
4046,Fairway Dr,Little River,SC,Horry County,29566,US,33.869785,-78.648414,31209010111,Joaquin,1
3555,Rose Cir,Longs,SC,Horry County,29568,US,33.847929,-78.766535,31210010027,Matthew,1
4451,Barcelona Ln,Little River,SC,Horry County,29566,US,33.867851,-78.621885,31212010033,Joaquin,1
4414,Barcelona Ln,Little River,SC,Horry County,29566,US,33.868673,-78.622962,31212010047,Joaquin,1
4450,Barcelona Ln,Little River,SC,Horry County,29566,US,33.867679,-78.622222,31212010055,Joaquin,1
463,Cordgrass Ln,Little River,SC,Horry County,29566,US,33.885385,-78.680797,31301010008,Joaquin,1
3098,Kings Ct,Little River,SC,Horry County,29566,US,33.878772,-78.646774,31301010012,Joaquin,1
505,Cordgrass Ln,Little River,SC,Horry County,29566,US,33.884588,-78.680142,31301010013,Joaquin,1
511,Cordgrass Ln,Little River,SC,Horry County,29566,US,33.884693,-78.679954,31301010014,Joaquin,1
496,Cordgrass Ln,Little River,SC,Horry County,29566,US,33.884246,-78.680492,31301010021,Joaquin,1
488,Cordgrass Ln,Little River,SC,Horry County,29566,US,33.884486,-78.680822,31301010023,Joaquin,1
484,Cordgrass Ln,Little River,SC,Horry County,29566,US,33.884638,-78.680895,31301010024,Joaquin,1
1619,Eastover Ln,North Myrtle Beach,SC,Horry County,29582,US,33.847619,-78.658401,31301010025,Joaquin,1
476,Cordgrass Ln,Little River,SC,Horry County,29566,US,33.884947,-78.681025,31301010026,Joaquin,1
472,Cordgrass Ln,Little River,SC,Horry County,29566,US,33.885096,-78.681107,31301010027,Joaquin,1
468,Cordgrass Ln,Little River,SC,Horry County,29566,US,33.885262,-78.68115,31301010028,Joaquin,1
3610,Golf Ave,Little River,SC,Horry County,29566,US,33.876685,-78.653857,31305020003,Matthew,1
1025,W Plantation Dr,Little River,SC,Horry County,29566,US,33.872993,-78.665733,31306040014,Joaquin,1
1095,W Plantation Dr,Little River,SC,Horry County,29566,US,33.872041,-78.665935,31306040123,Joaquin,1
450,Nature Trl,Little River,SC,Horry County,29566,US,33.877665,-78.671038,31307010007,Matthew,1
416,Nature Trl,Little River,SC,Horry County,29566,US,33.876571,-78.670469,31307020006,Joaquin,1
133,Kenya Cir,Little River,SC,Horry County,29566,US,33.874234,-78.675019,31307040045,Matthew,1
219,Sienna Dr,Little River,SC,Horry County,29566,US,33.893297,-78.676132,31310030003,Joaquin,1
142,Williamsburg Rd,Little River,SC,Horry County,29566,US,33.867644,-78.669294,31310030008,Joaquin,1
3805,Lee Pl,Little River,SC,Horry County,29566,US,33.867286,-78.668734,31310030011,Joaquin,1
3812,Kathyrn Pl,Little River,SC,Horry County,29566,US,33.86783,-78.668013,31310030020,Joaquin,1
3809,Kathryn Pl,Little River,SC,Horry County,29566,US,33.868046,-78.668469,31310030021,Joaquin,1
3970,Pinebrook Cir,Little River,SC,Horry County,29566,US,33.868774,-78.652527,31312020044,Florence,1
238,Robinhood Cir,Little River,SC,Horry County,29566,US,33.863196,-78.659203,31314020035,Joaquin,1
120,Red Tip Blvd,Little River,SC,Horry County,29566,US,33.862266,-78.663017,31314020074,Joaquin,1
1900,Tallwood Rd,Longs,SC,Horry County,29568,US,33.882405,-78.711944,31400000003,Matthew,1
279,Crystal Ln,Longs,SC,Horry County,29568,US,33.885549,-78.715132,31401010001,Florence,1
273,Crystal Ln,Longs,SC,Horry County,29568,US,33.885325,-78.715419,31401010002,Florence,1
3909,Thomas Rd,Little River,SC,Horry County,29566,US,33.898209,-78.612254,31401010005,Florence,1
298,Crystal Ln,Longs,SC,Horry County,29568,US,33.885533,-78.714213,31401010006,Florence,1
402,Pine Cir,Myrtle Beach,SC,Horry County,29572,US,33.759518,-78.804855,31401010007,Florence,1
312,Crystal Ln,Longs,SC,Horry County,29568,US,33.884373,-78.713456,31401010008,Florence,1
314,Crystal Ln,Longs,SC,Horry County,29568,US,33.884077,-78.713246,31401010010,Florence,1
1895,Tallwood Rd,Longs,SC,Horry County,29568,US,33.883578,-78.71289,31401010013,Florence,1
1878,Tallwood Rd,Longs,SC,Horry County,29568,US,33.882691,-78.712418,31401010015,Florence,1
3325,Timothy Dr,Longs,SC,Horry County,29568,US,33.83966,-78.782042,31403030003,Florence,1
1002,Snowberry Dr,Longs,SC,Horry County,29568,US,33.877231,-78.707248,31407010016,Matthew,1
2040,Jones Rd,Longs,SC,Horry County,29568,US,33.866305,-78.735053,31500000035,Florence,1
1767,Living Stones Ln,Longs,SC,Horry County,29568,US,33.873487,-78.748501,31508040001,Florence,1
